=== UTENTI REGISTRATI ===

Email: marco_rossi@test.it | Password: 123 | Ruolo: player
Email: giulia_bianchi@test.it | Password: 123 | Ruolo: player
Email: luca_ferrari@test.it | Password: 123 | Ruolo: player
Email: sara_esposito@test.it | Password: 123 | Ruolo: player
Email: matteo_russo@test.it | Password: 123 | Ruolo: player
Email: elena_romano@test.it | Password: 123 | Ruolo: player
Email: andrea_gallo@test.it | Password: 123 | Ruolo: player
Email: laura_conti@test.it | Password: 123 | Ruolo: player
Email: davide_greco@test.it | Password: 123 | Ruolo: player
Email: martina_moretti@test.it | Password: 123 | Ruolo: player
Email: federico_rinaldi@test.it | Password: 123 | Ruolo: player
Email: alice_costa@test.it | Password: 123 | Ruolo: player
Email: simone_deluca@test.it | Password: 123 | Ruolo: player
Email: valentina_serra@test.it | Password: 123 | Ruolo: player
Email: nicola_ferrara@test.it | Password: 123 | Ruolo: player
Email: claudia_bruno@test.it | Password: 123 | Ruolo: player
Email: pietro_longo@test.it | Password: 123 | Ruolo: player
Email: francesca_marchetti@test.it | Password: 123 | Ruolo: player
Email: riccardo_gatti@test.it | Password: 123 | Ruolo: player
Email: angela_moro@test.it | Password: 123 | Ruolo: player
Email: stefano_villa@test.it | Password: 123 | Ruolo: player
Email: martina_bianco@test.it | Password: 123 | Ruolo: player
Email: tommaso_barbieri@test.it | Password: 123 | Ruolo: player
Email: ilaria_piras@test.it | Password: 123 | Ruolo: player
Email: nicola_sala@test.it | Password: 123 | Ruolo: player
Email: claudia_marche@test.it | Password: 123 | Ruolo: player
Email: roberto_negro@test.it | Password: 123 | Ruolo: player
Email: federica_lupo@test.it | Password: 123 | Ruolo: player
Email: giorgio_neri@test.it | Password: 123 | Ruolo: player
Email: miriam_serra@test.it | Password: 123 | Ruolo: player
Email: enzo_giordano@test.it | Password: 123 | Ruolo: player
Email: paola_caruso@test.it | Password: 123 | Ruolo: player
Email: emanuele_benedetti@test.it | Password: 123 | Ruolo: player
Email: silvia_fontana@test.it | Password: 123 | Ruolo: player
Email: antonio_martino@test.it | Password: 123 | Ruolo: player
Email: beatrice_riva@test.it | Password: 123 | Ruolo: player
Email: nicola_marchetti@test.it | Password: 123 | Ruolo: player
Email: giorgia_parisi@test.it | Password: 123 | Ruolo: player
Email: luca_marino@test.it | Password: 123 | Ruolo: player
Email: miriam_dangelo@test.it | Password: 123 | Ruolo: player
Email: filippo_sarti@test.it | Password: 123 | Ruolo: player
Email: aurora_villa@test.it | Password: 123 | Ruolo: player
Email: alessandro_ferri@test.it | Password: 123 | Ruolo: player
Email: rebecca_sanna@test.it | Password: 123 | Ruolo: player
Email: alessio_puglisi@test.it | Password: 123 | Ruolo: player
Email: elisa_caputo@test.it | Password: 123 | Ruolo: player
Email: marco_bellini@test.it | Password: 123 | Ruolo: player
Email: daniela_serra@test.it | Password: 123 | Ruolo: player
Email: niccolo_bernardi@test.it | Password: 123 | Ruolo: player
Email: yuri_costa@test.it | Password: 123 | Ruolo: player
Email: luca_moretti@test.it | Password: 123 | Ruolo: owner
Email: francesca_gallo@test.it | Password: 123 | Ruolo: owner
Email: marco_bianchi@test.it | Password: 123 | Ruolo: owner
Email: elena_russo@test.it | Password: 123 | Ruolo: owner
Email: stefano_romano@test.it | Password: 123 | Ruolo: owner
Email: valeria_conti@test.it | Password: 123 | Ruolo: owner
Email: antonio_ricci@test.it | Password: 123 | Ruolo: owner
Email: silvia_fontana_owner@test.it | Password: 123 | Ruolo: owner
Email: paolo_ferri@test.it | Password: 123 | Ruolo: owner
Email: martina_sala@test.it | Password: 123 | Ruolo: owner
Email: roberto_martino@test.it | Password: 123 | Ruolo: owner
Email: chiara_greco@test.it | Password: 123 | Ruolo: owner
Email: matteo_barbieri@test.it | Password: 123 | Ruolo: owner
Email: laura_riva@test.it | Password: 123 | Ruolo: owner
Email: alessandro_neri@test.it | Password: 123 | Ruolo: owner
Email: federica_deluca@test.it | Password: 123 | Ruolo: owner
Email: giorgio_serra@test.it | Password: 123 | Ruolo: owner
Email: anna_piras@test.it | Password: 123 | Ruolo: owner
Email: fabio_marino@test.it | Password: 123 | Ruolo: owner
Email: daniela_parisi@test.it | Password: 123 | Ruolo: owner
Email: nicola_berti@test.it | Password: 123 | Ruolo: owner
Email: elisa_lombardi@test.it | Password: 123 | Ruolo: owner
Email: simone_valentini@test.it | Password: 123 | Ruolo: owner
Email: maria_leone@test.it | Password: 123 | Ruolo: owner
Email: davide_sanna@test.it | Password: 123 | Ruolo: owner
